response_id,condition_id,model_name,compound,pos,neu,neg
c8b81a3e-8e49-4da9-a1e2-6237db17de7f,H1_pos,chatgpt,0.831,0.175,0.714,0.111
59268dba-3312-4cea-85a8-16059740a5b3,H1_neg,chatgpt,-0.8316,0.127,0.691,0.182
a3d19362-bd6f-487d-9a3d-167cf105b622,H2_named,chatgpt,0.8714,0.169,0.781,0.05
26c52b11-31d2-494c-bebd-979227e5137d,H2_anon,chatgpt,0.855,0.162,0.779,0.059
dded45e1-4357-4fba-88c2-b0798bbb7a1d,H3_neutral,chatgpt,0.8979,0.193,0.72,0.086
efb7decf-6b67-4645-b9b3-3f446928c905,H3_underperf,chatgpt,-0.2617,0.079,0.805,0.116
fe3ffe9c-569a-4786-9431-25de33a76fc7,H1_pos,claude,0.9149,0.192,0.697,0.111
b98d3459-d2e8-4af4-aeec-8891238aad23,H1_neg,claude,-0.9873,0.025,0.671,0.304
28fe6c92-9f4a-456f-b6f0-d6659129cc7f,H2_named,claude,0.9337,0.147,0.837,0.016
dd736c07-b40d-4dfd-b2fa-72d91ed2d053,H2_anon,claude,0.8957,0.12,0.864,0.016
05a2c9ae-2608-42c8-b276-4bb845c44ab3,H3_neutral,claude,-0.9601,0.024,0.834,0.142
22a308fb-25aa-4c22-9afe-5265f131863d,H3_underperf,claude,-0.5994,0.067,0.812,0.121
4fef0a51-49ed-48cb-a581-bd53642cccb7,H1_pos,gemini,0.9702,0.251,0.687,0.062
d0f413f4-543b-44d4-a9d4-73ef8e698c47,H1_neg,gemini,-0.9741,0.122,0.651,0.227
28675531-fae4-4511-a1e1-48cfb636f238,H2_named,gemini,0.8519,0.114,0.821,0.065
04171728-af3d-4f76-85dc-de77353f8fcb,H2_anon,gemini,0.919,0.192,0.702,0.106
a7641630-50b2-48eb-b06f-d3a90d307e38,H3_neutral,gemini,-0.2732,0.156,0.678,0.166
888be560-95e9-4079-87e2-c1846c479962,H3_underperf,gemini,-0.9601,0.106,0.71,0.184
7f4e13a9-1826-4d2b-9808-c8b7100ac5d8,H1_pos,chatgpt,0.9442,0.221,0.669,0.11
ab74bab1-4a8b-4f13-9a0f-33d4961ce0ec,H1_neg,chatgpt,-0.9201,0.067,0.727,0.206
421d59a9-330f-4180-8943-1114b86dbdaf,H2_named,chatgpt,0.8882,0.185,0.751,0.064
225a417d-5b8a-49bf-aa6b-64055d2d169d,H2_anon,chatgpt,0.9298,0.149,0.786,0.065
0f0d6c40-f4c9-49fd-b798-aee174c57ca5,H3_neutral,chatgpt,0.8807,0.198,0.675,0.127
a257e3dd-fbf8-4def-9d20-9fea652f27b4,H3_underperf,chatgpt,-0.6918,0.065,0.81,0.125
7e168572-22a3-4331-b7ad-b98c31ce5b6d,H1_pos,claude,-0.4939,0.104,0.776,0.12
a4af2168-cc3e-4843-a40d-9a5c639d24d0,H1_neg,claude,-0.9825,0.05,0.696,0.254
ac18277b-fcce-46ef-9b67-2be5691c5c7a,H2_named,claude,0.4588,0.114,0.812,0.074
a1f6aa5b-6002-4aa4-b214-3d9400f2464d,H2_anon,claude,0.4588,0.114,0.811,0.075
e1a215f4-6ba9-4935-bbbb-936aa73cfc7b,H3_neutral,claude,-0.9001,0.086,0.766,0.148
7554fe8b-a2ca-42df-985e-ef52e2cf648b,H3_underperf,claude,-0.9626,0.039,0.766,0.195
ce008881-0f42-40d2-9d5a-2ca2f1999388,H1_pos,gemini,0.9477,0.198,0.723,0.079
33fed518-c5a8-4aa6-99b9-e2366253b110,H1_neg,gemini,-0.8316,0.095,0.783,0.122
984b18c9-cea8-40c6-94d4-30fbddd568e3,H2_named,gemini,0.7741,0.108,0.843,0.049
44dba921-0cba-4572-9576-a0adf250111b,H2_anon,gemini,0.91,0.142,0.786,0.073
71b10101-2ed9-4f0c-89ff-a9d902e0d41e,H3_neutral,gemini,-0.8658,0.15,0.672,0.178
7a5083e1-7ebb-478c-adb8-bc97ac8e231d,H3_underperf,gemini,-0.7914,0.14,0.69,0.17
